,,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,CTV,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Bladder,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,Rectum,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,LFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral,RFemoral
gldm,SmallDependenceEmphasis,0.06110229581160764,,,,,,,,,,,,,,0.1142842336272114,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05512531655529851,,,,,,0.08819604726301333,,,0.057773591422256354,,,,,,,,,,,0.07309576263306894,,,0.044021351005150255,,,,
glrlm,RunPercentage,0.0587750035287814,,,,,,,,,,,,,,0.13203448453196887,,,0.06636630599908921,,,,,,0.14821205887990563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm,Idm,0.0579538460905179,,,,,,0.008222465262270773,,,,,,,,0.12777019653909416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,RunLengthNonUniformity,0.05037832557679933,0.18725508576434824,,,,,,,,0.11567157217414115,0.20685483234248936,0.48518259356677285,,0.2519098162598562,0.13780245352724174,,0.14558360184056396,0.11148128759654641,,,0.10942421584747941,,,0.13752618258189608,,,0.024877724832122583,,,,,,,,,,,,,,,,,,,,,,,,0.23563821259009954,,,,,,,,,,,,,,0.18971550874516352,,,,,
glrlm,ShortRunEmphasis,0.027238666133280742,,,,,,,,,,,,,,0.10102690888131116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,RunLengthNonUniformityNormalized,0.025797475359483624,,,,,,,,,,,,,,0.10137813555518393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm,GrayLevelVariance,0.015010788078468229,,,,,,0.025546466056029837,,,,,,,,0.058921941119726595,,,,,,0.1144565952566613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngtdm,Coarseness,,0.15930397956075937,,,,,,0.574663302396401,0.4291957735359835,,0.4487703483589035,0.6245620857665819,,0.672136824878929,,,,,,,,0.1762578866556277,,,0.09245145270823796,0.2927033122011121,0.21233232781387779,,,,,,,,,,,,0.09579371510345769,0.21353152167880518,0.18311143324561308,0.19623622267132534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngtdm,Busyness,,,0.11241864419887082,,,,,,,,,,,,0.228034895204427,0.15611618835769903,0.16910705219442002,0.19294219183906658,0.133688038410123,,0.21106513349891964,,,0.26876990879028695,0.17106907614832334,0.25732061016821484,,0.13602757804606946,,,,,,,,,,,0.04431736350875359,0.12255684497663233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,GrayLevelNonUniformity,,,0.09136067361361189,,,,,0.5435755481394093,,0.22151271017599883,0.3444935919921769,0.5431649451770998,,0.3878319991829903,,,0.19794144263972036,0.20768857878449198,0.10840040153335928,,0.10707786363075134,,,0.2653969762567927,,,0.09241823791545611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm,ZoneEntropy,,,,0.3329436357425736,0.272406082363717,0.22666709491365822,,,,0.2249748927676859,,,,,,,,,0.3295709758776213,,,,,0.23293745648390907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17617085851616632,,,,
glszm,SmallAreaHighGrayLevelEmphasis,,,,,0.07309748530025062,0.08419075720685065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,LongRunHighGrayLevelEmphasis,,,,,,0.0249886493228203,,,,,,,,,0.2913985519204393,,0.36693943359449277,0.26516608688387877,0.20843742885901173,0.13204137542780658,0.3443557583662966,,,,,,,,,,,0.22116976357874618,0.19560503619440994,0.1396633016524622,,,,0.353696176170878,,,,,,,,,,,,,,0.0747584544204426,,,,,,,,,,,,,,0.0708331158872445,,,,
glszm,LargeAreaHighGrayLevelEmphasis,,,,,,0.013931268135838892,,,,,,,,,0.11683194708991196,,,0.12708866911994465,0.14071529464710808,0.13594720203753174,0.06579148988529038,,,,,,,,,,,0.2908746444617931,0.2575143866058651,0.22681380304362198,,,,0.3419650887317288,,,,,0.08604758066266782,,,,,,0.12809370919733643,,,0.08307602396309599,,,,,0.08647495864963628,,,,,,0.10014012328234134,,,0.03016785434823599,,,,
glszm,LargeAreaLowGrayLevelEmphasis,,,,,,,0.3741805430351107,,,,,,,,0.15564235843874885,,,0.07153726030388285,,,0.21765157721316641,,,,,,,,0.11792647959854774,,,0.07631097148511679,,,0.5117510044575526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glcm,SumEntropy,,,,,,,0.023334543876407876,,,,,,,,0.11126253242791218,,,0.05401506551618884,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03191374886850684,,,0.030982678590747437,,,0.06575002348931802,,,,,0.004999898759787458,,,0.034322430826080885,,,0.01705282974603739,,,0.08623725973313756,,,,
firstorder,Mean,,,,,,,,0.165033031508384,0.18041374517654474,,,,,,,,,,,,,,0.053193490199149984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gldm,GrayLevelNonUniformity,,,,,,,,,,,0.08087985094067296,0.12016046996717711,,,,,,,,,,,,,,,,0.040522488323770034,,,,,,,,0.006630003720192512,,,,0.05468343360991479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,RunVariance,,,,,,,,,,,,,,,0.34827240582348606,,0.4498124633113255,0.3422556288285282,0.2133033306573775,0.1273175812070021,0.4096347820283114,,,0.436834626914436,,,,,0.20247436963957743,,,,,,0.11630997354548689,,,0.23707652618385633,,,,,,,,,,,,,,0.04612614370706647,,,,,,,,,,,,,,,,,,
glrlm,LongRunEmphasis,,,,,,,,,,,,,,,0.34398602870734996,,0.40302356968576813,0.3064142948992461,0.18452351099830255,0.10869220503846666,0.4009459133018587,,,0.4173432559003981,,,,,0.18861299013303934,,,,,,0.10731716446292672,,,0.19913558310769353,,,,,,,,,,,,,,0.04473717701941071,,,,,,,,,,,,,,,,,,
glcm,MCC,,,,,,,,,,,,,,,0.2990219762297608,,,0.0990626102585539,0.07727153929072805,,0.25297234754380227,,,,,,,,,,,,,,,,,,,,,,,,,0.07295587955203076,,,,,,,,,,,,,,0.03429301153533815,,,,,,,,,,
glcm,InverseVariance,,,,,,,,,,,,,,,0.23317109090071408,,,0.33009560754427747,0.16659814989438892,0.07243096496406376,0.18729669695439766,,,0.49262257780561547,,,,,,,,,,,,,,0.16371053460981855,,,,,,,,,,,0.08522181246777827,,,,,,,,,,,,,,0.05953511606617867,,,,,,,
glcm,JointEnergy,,,,,,,,,,,,,,,0.1952216547139206,,0.2531532096725544,0.1650175458202714,0.09667468968536508,,0.21691548573881825,,0.14727613547742047,0.16968157933970052,0.12845621722706135,0.16586237183568142,,,0.10205664618001775,,,,,,0.07687522435926153,,0.20365374304254147,0.09406831164579099,,,,,,,,,,,,,,0.03628787733186134,,,,,,,,,,,,,,,,,,
glcm,MaximumProbability,,,,,,,,,,,,,,,0.1930728268197648,,0.29551759442833014,0.22267023676338038,0.15202363442914013,0.09229386250747429,0.2096633003954077,,,0.2275502049103234,0.12975927975617696,0.16581843825164078,,,0.08705009721448254,,0.046934883790009985,,,,0.07500770651907152,,,0.15917515639075652,,,,,0.11439796923278245,,,,,,,,,0.051816680267316007,,,,,,,,,,,,,,0.03438732649384835,,,,
ngtdm,Complexity,,,,,,,,,,,,,,,0.18939708444308845,,,0.05440171428564056,,,0.10619140559144025,,,,,,,,,,,,0.04417840865355227,,0.06443080043439908,,,,,,,,,,,,,,0.22279335247912702,,,0.043876485113868435,,,,,,,,,,,0.20084892375186902,,,0.03177955517037212,,,,
glrlm,ShortRunHighGrayLevelEmphasis,,,,,,,,,,,,,,,0.1720105158271238,,,0.10435463801268208,0.11890600410962615,0.11777017918837107,0.09030274909748859,,,,,,,,0.18731956401100458,,,0.04052601644322895,0.07362787449060881,,0.154184806780721,,,,,,,,0.023591727111362593,,,,,,0.056678667771920654,,,0.08516457085479501,,,,,,,,,,,0.03599515150219845,,,,,,,
firstorder,Kurtosis,,,,,,,,,,,,,,,0.16986963546010891,,,,,,0.09454319085149043,,,,0.1697196455608787,0.07528692326699249,,,,,,,,,0.08744411377041905,,,,,,,,,,0.06340553378492209,,,,,,,,,,,,,,,,,,,,,,,,,
gldm,HighGrayLevelEmphasis,,,,,,,,,,,,,,,0.16342300363394435,,,0.0830763670789394,0.10279702540297009,0.11061633882131605,0.09503582887272921,,,,,,,,0.16025893226514687,,,0.0785384086329598,0.10090082047561488,0.06392613502430022,0.13024721637459735,,,,,,,,0.04280844524945182,,,,,,0.06960521724184399,,,0.08123829210357925,,,,,0.03188579356707999,,,,,,0.04949607182559346,,,,,,,
glrlm,HighGrayLevelRunEmphasis,,,,,,,,,,,,,,,0.1633142379371314,,,0.08555305993735163,0.1063904858140281,0.11430666079897822,0.0963634623069054,,,,,,,,0.16447253784081617,,,0.07850554771037599,0.10615578328177877,0.06976660251975675,0.13548916144312495,,,,,,,,0.036077714509544,,,,,,0.06699935784904165,,,0.08046580353518684,,,,,0.023892956474510063,,,,,,0.04501226079902265,,,,,,,
glcm,Autocorrelation,,,,,,,,,,,,,,,0.16181094281110098,,,0.08126757093544057,0.10082872738901372,0.10784689224018007,0.09252245839471229,,,,,,,,0.1484492846857134,,,0.07902292116333187,0.10311282798002863,0.06681261399313398,0.1271690702163888,,,,,,,,0.047765354902301715,,,,,,0.07158515971616664,,,0.07197634450245893,,,,,0.03675360580849607,,,,,,0.051515796516772516,,,,,,,
glcm,SumAverage,,,,,,,,,,,,,,,0.15273590140105386,,,0.10784665396663151,0.11797759401900854,0.11463305378457578,0.09967671937784917,,,,,,,,0.13242150912940187,,,0.06432623513584945,0.07934319440030502,,0.12650926052917977,,,,,,,,0.054172545536823935,,,,,,0.07378247268728366,,,0.08393586497592587,,,,,0.03973599080998935,,,,,,0.05410999288756502,,,,,,,
glcm,JointAverage,,,,,,,,,,,,,,,0.15273590140105353,,,0.10784665396663118,0.11797759401900887,0.11463305378457544,0.09967671937784905,,,,,,,,0.13242150912940198,,,0.06432623513584923,0.0793431944003048,,0.12650926052917943,,,,,,,,0.05417254553682416,,,,,,0.07378247268728322,,,0.08393586497592598,,,,,0.03973599080998935,,,,,,0.05410999288756513,,,,,,,
firstorder,Uniformity,,,,,,,,,,,,,,,0.14835809693292046,,0.09428421501106665,0.08786335154831904,,,0.1415604812621234,,,0.07383948743961855,0.048369015903400925,0.07109253453496112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05221244284286353,,,,
glszm,HighGrayLevelZoneEmphasis,,,,,,,,,,,,,,,0.14393028442788358,,,,,,0.08206813845265448,,,,,,,,,,,,0.14716399311943373,0.06932590248808124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glrlm,LowGrayLevelRunEmphasis,,,,,,,,,,,,,,,0.12526243361263367,,,,,0.09600362284004038,0.1153023624760463,,,,,,,,,,,,,,,,,,,,,,,,0.26029332134090477,0.28193232111395283,0.2579650189506415,0.2112406302462777,0.16097982095265273,,,,,,,,0.0807446024400722,,0.28825888641869524,0.17217575412869024,0.24455762581169294,0.18671455843503282,0.10957947687655334,,,,,,,
gldm,LargeDependenceHighGrayLevelEmphasis,,,,,,,,,,,,,,,0.12244655941278881,0.0967695022193149,0.11310638955610586,0.12186833816241227,0.0965139306026096,0.07502349508340633,0.10077215735038159,,,,0.2470926572579405,,,,,,,0.19690552157280738,0.18653680512070336,0.13180240527777476,,,,0.2642230309388073,,,,,,,,,,,0.09982043889523329,,,0.05634915949493058,,,,,,,,,,,0.09903299402463484,,,0.0548712192187405,,,,
glrlm,ShortRunLowGrayLevelEmphasis,,,,,,,,,,,,,,,0.12147574146191054,,,,,0.09919335711529398,0.09805027678035416,,,,,,,,,,,,,,,,,,,,,,,,0.19173351584002063,0.21330854256479337,,,,,,,,,,,,,,,,,,,,0.14108817592576306,,,,
gldm,SmallDependenceLowGrayLevelEmphasis,,,,,,,,,,,,,,,0.12001194694312944,,,,,,0.11697470311569258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gldm,LowGrayLevelEmphasis,,,,,,,,,,,,,,,0.11737393657586048,,,,,0.08563210796164844,0.11373243914492748,,,,,,,,,,,,,,,,,,,,,,0.13616134821840986,,0.25142353893286107,0.28777614164356846,0.2660636340913337,0.2224523291382744,0.17059057930621246,,,,,,,,0.10064211581268889,,0.28475244604586736,0.17723109956344751,0.26782337182849103,0.20987431115601718,0.11843278932924117,,,,,,,
glrlm,GrayLevelNonUniformityNormalized,,,,,,,,,,,,,,,0.11714592419945125,,,0.13275722211673469,0.12331681918194592,0.10905566176151538,0.08794238116243147,,,0.09309854363586068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07854063975531245,,,,
glcm,Idmn,,,,,,,,,,,,,,,0.1133214259988149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11908029313877566,,,,,,,,,,,,,,0.10910581319315948,,,,,,,
glcm,Contrast,,,,,,,,,,,,,,,0.10968124201552298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12042241604643555,,,,,,,,,,,,,,0.11282330963870302,,,,,,,
glszm,ZoneVariance,,,,,,,,,,,,,,,0.10897545753215976,,,0.08274961699943417,0.08699888628605357,0.07982870468493719,0.09603194144040472,,,,,,,,0.1358369779506472,,,,,,0.1169060481910228,,,0.0777033500351334,,,,,,,,,,,,,,0.04291969677697027,,,,,,,,,,,,,,,,,,
firstorder,Minimum,,,,,,,,,,,,,,,0.10856888300816514,,,,0.05345594551043975,0.06300015713764162,,,,,,,,,,,,,0.052263401322355185,,,,,0.08895523711337472,,,,,0.10944296245541207,,,,,,0.1786683427039747,,,0.06776125243093256,,,,,0.12298966191087635,,,,,,0.13989915059324243,,,0.056532448059078866,,0.26609553434674404,,
glszm,SizeZoneNonUniformity,,,,,,,,,,,,,,,0.10719311794139097,,,,0.13463461596819082,,,,,0.12765622758129436,,,,0.1973670334728832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011666650222285968,,,,
firstorder,Entropy,,,,,,,,,,,,,,,0.10693308181413264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014716082605757852,,,0.028289781371495737,,,,,,,,,,,0.011465479572120074,,,0.011473355486769532,,,0.06932493587428634,,,,
glcm,JointEntropy,,,,,,,,,,,,,,,0.10606815743934406,,0.028760065626847853,,,,,,,,,,,,,,,,,,,,,,,,,,0.005301191981163744,,,,,,0.06889015764996198,,,,,,,,0.0034524550491157324,,,0.0281943250404606,,,0.051976875681640666,,,0.08433369078043618,,,,
glcm,DifferenceEntropy,,,,,,,,,,,,,,,0.09922451556812528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11692826242019028,,,,,,,,,,,,,,0.09111364757001661,,,0.04887428335226862,,,,
glszm,LargeAreaEmphasis,,,,,,,,,,,,,,,0.09513023905569085,,,0.0817466996273909,0.08678153072083694,0.0795655289110816,0.08790569692309469,,,,,,,,0.13502805844545185,,,,,,0.1175110335229742,,,0.07917891115285947,,,,,,,,,,,0.06902700868002598,,,0.04305374464065348,,,,,,,,,,,,,,,,,,
glcm,DifferenceVariance,,,,,,,,,,,,,,,0.08044812440406246,,,0.05475148271218122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10759764141188,,,,,,,,,,,,,,0.1044359079606153,,,,,,,
glcm,ClusterShade,,,,,,,,,,,,,,,,,,0.12818585552316486,0.09110704218895638,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05863680101164048,,,,,,,,,,,,,,,,,,,,,,,,
glszm,SmallAreaEmphasis,,,,,,,,,,,,,,,,,,,,,,,,0.18383554223402243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glszm,SizeZoneNonUniformityNormalized,,,,,,,,,,,,,,,,,,,,,,,,0.16547998207469128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstorder,Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021778754314886628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firstorder,Skewness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09233425114826854,0.07341552689771313,,,,,,,,,,,,,0.03997420888436942,,,,,,,,,,,
firstorder,InterquartileRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2109752685388232,,,,,,,,,,,,,,0.2579434605855243,,,
firstorder,RobustMeanAbsoluteDeviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2021985944705137,,,,,,,,,,,,,,0.24964299820726188,,,
firstorder,Variance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09674054021303913,,,0.5550448010996036,,,,,,,,,,,,,,0.580698987907267
